Pokemon,Move,Type,Category,Accuracy,Power
Venusaur,Double-Edge,Normal,,100,100
Venusaur,Hyper Beam,Normal,,150,90
Venusaur,Rage,Normal,,20,100
Venusaur,Mega Drain,Grass,,40,100
Venusaur,Mimic,Normal,,—,100
Venusaur,Double Team,Normal,,—,—
Venusaur,Reflect,Psychic,,—,—
Venusaur,Bide,Normal,,—,—
Venusaur,Rest,Psychic,,—,—
Venusaur,Substitute,Normal,,—,—
Charmander,Growl,Normal,,—,100
Charmander,Scratch,Normal,,40,100
Charmander,Ember,Fire,,40,100
Charmander,Leer,Normal,,—,100
Charmander,Rage,Normal,,20,100
Charmander,Slash,Normal,,70,100
Charmander,Flamethrower,Fire,,95,100
Charmander,Fire Spin,Fire,,15,70
Charmander,Cut,Normal,,50,95
Charmander,Strength,Normal,,80,100
Charmander,Mega Punch,Normal,,80,85
Charmander,Swords Dance,Normal,,—,—
Charmander,Mega Kick,Normal,,120,75
Charmander,Toxic,Poison,,—,85
Charmander,Body Slam,Normal,,85,100
Charmander,Take Down,Normal,,90,85
Charmander,Double-Edge,Normal,,100,100
Charmander,Submission,Fighting,,80,80
Charmander,Counter,Fighting,,—,100
Charmander,Seismic Toss,Fighting,,—,100
Charmander,Dragon Rage,Dragon,,—,100
Charmander,Dig,Ground,,100,100
Charmander,Mimic,Normal,,—,100
Charmander,Double Team,Normal,,—,—
Charmander,Reflect,Psychic,,—,—
Charmander,Bide,Normal,,—,—
Charmander,Fire Blast,Fire,,120,85
Charmander,Swift,Normal,,60,
Charmander,Skull Bash,Normal,,100,100
Charmander,Rest,Psychic,,—,—
Charmander,Substitute,Normal,,—,—
Charmeleon,Ember,Fire,,40,100
Charmeleon,Growl,Normal,,—,100
Charmeleon,Scratch,Normal,,40,100
Charmeleon,Leer,Normal,,—,100
Charmeleon,Rage,Normal,,20,100
Charmeleon,Slash,Normal,,70,100
Charmeleon,Flamethrower,Fire,,95,100
Charmeleon,Fire Spin,Fire,,15,70
Charmeleon,Cut,Normal,,50,95
Charmeleon,Strength,Normal,,80,100
Charmeleon,Mega Punch,Normal,,80,85
Charmeleon,Swords Dance,Normal,,—,—
Charmeleon,Mega Kick,Normal,,120,75
Charmeleon,Toxic,Poison,,—,85
Charmeleon,Body Slam,Normal,,85,100
Charmeleon,Take Down,Normal,,90,85
Charmeleon,Double-Edge,Normal,,100,100
Charmeleon,Submission,Fighting,,80,80
Charmeleon,Counter,Fighting,,—,100
Charmeleon,Seismic Toss,Fighting,,—,100
Charmeleon,Dragon Rage,Dragon,,—,100
Charmeleon,Dig,Ground,,100,100
Charmeleon,Mimic,Normal,,—,100
Charmeleon,Double Team,Normal,,—,—
Charmeleon,Reflect,Psychic,,—,—
Charmeleon,Bide,Normal,,—,—
Charmeleon,Fire Blast,Fire,,120,85
Charmeleon,Swift,Normal,,60,
Charmeleon,Skull Bash,Normal,,100,100
Charmeleon,Rest,Psychic,,—,—
Charmeleon,Substitute,Normal,,—,—
Charizard,Ember,Fire,,40,100
Charizard,Growl,Normal,,—,100
Charizard,Leer,Normal,,—,100
Charizard,Scratch,Normal,,40,100
Charizard,Rage,Normal,,20,100
Charizard,Slash,Normal,,70,100
Charizard,Flamethrower,Fire,,95,100
Charizard,Fire Spin,Fire,,15,70
Charizard,Cut,Normal,,50,95
Charizard,Strength,Normal,,80,100
Charizard,Mega Punch,Normal,,80,85
Charizard,Swords Dance,Normal,,—,—
Charizard,Mega Kick,Normal,,120,75
Charizard,Toxic,Poison,,—,85
Charizard,Body Slam,Normal,,85,100
Charizard,Take Down,Normal,,90,85
Charizard,Double-Edge,Normal,,100,100
Charizard,Hyper Beam,Normal,,150,90
Charizard,Submission,Fighting,,80,80
Charizard,Counter,Fighting,,—,100
Charizard,Seismic Toss,Fighting,,—,100
Charizard,Dragon Rage,Dragon,,—,100
Charizard,Earthquake,Ground,,100,100
Charizard,Fissure,Ground,,—,30
Charizard,Dig,Ground,,100,100
Charizard,Mimic,Normal,,—,100
Charizard,Double Team,Normal,,—,—
Charizard,Reflect,Psychic,,—,—
Charizard,Bide,Normal,,—,—
Charizard,Fire Blast,Fire,,120,85
Charizard,Swift,Normal,,60,
Charizard,Skull Bash,Normal,,100,100
Charizard,Rest,Psychic,,—,—
Charizard,Substitute,Normal,,—,—
Charizard,Fly,Flying,,70,95
Squirtle,Tackle,Normal,,35,95
Squirtle,Tail Whip,Normal,,—,100
Squirtle,Bubble,Water,,20,100
Squirtle,Water Gun,Water,,40,100
Squirtle,Bite,Normal,,60,100
Squirtle,Withdraw,Water,,—,—
Squirtle,Skull Bash,Normal,,100,100
Squirtle,Hydro Pump,Water,,120,80
Squirtle,Surf,Water,,95,100
Squirtle,Strength,Normal,,80,100
Squirtle,Mega Punch,Normal,,80,85
Squirtle,Mega Kick,Normal,,120,75
Squirtle,Toxic,Poison,,—,85
Squirtle,Body Slam,Normal,,85,100
Squirtle,Take Down,Normal,,90,85
Squirtle,Double-Edge,Normal,,100,100
Squirtle,BubbleBeam,Water,,65,100
Squirtle,Ice Beam,Ice,,95,100
Squirtle,Blizzard,Ice,,120,90
Squirtle,Submission,Fighting,,80,80
Squirtle,Counter,Fighting,,—,100
Squirtle,Seismic Toss,Fighting,,—,100
Squirtle,Rage,Normal,,20,100
Squirtle,Dig,Ground,,100,100
Squirtle,Mimic,Normal,,—,100
Squirtle,Double Team,Normal,,—,—
Squirtle,Reflect,Psychic,,—,—
Squirtle,Bide,Normal,,—,—
Squirtle,Rest,Psychic,,—,—
Squirtle,Substitute,Normal,,—,—
Wartortle,Bubble,Water,,20,100
Wartortle,Tackle,Normal,,35,95
Wartortle,Tail Whip,Normal,,—,100
Wartortle,Water Gun,Water,,40,100
Wartortle,Bite,Normal,,60,100
Wartortle,Withdraw,Water,,—,—
Wartortle,Skull Bash,Normal,,100,100
Wartortle,Hydro Pump,Water,,120,80
Wartortle,Surf,Water,,95,100
Wartortle,Strength,Normal,,80,100
Wartortle,Mega Punch,Normal,,80,85
Wartortle,Mega Kick,Normal,,120,75
Wartortle,Toxic,Poison,,—,85
Wartortle,Body Slam,Normal,,85,100
Wartortle,Take Down,Normal,,90,85
Wartortle,Double-Edge,Normal,,100,100
Wartortle,BubbleBeam,Water,,65,100
Wartortle,Ice Beam,Ice,,95,100
Wartortle,Blizzard,Ice,,120,90
Wartortle,Submission,Fighting,,80,80
Wartortle,Counter,Fighting,,—,100
Wartortle,Seismic Toss,Fighting,,—,100
Wartortle,Rage,Normal,,20,100
Wartortle,Dig,Ground,,100,100
Wartortle,Mimic,Normal,,—,100
Wartortle,Double Team,Normal,,—,—
Wartortle,Reflect,Psychic,,—,—
Wartortle,Bide,Normal,,—,—
Wartortle,Rest,Psychic,,—,—
Wartortle,Substitute,Normal,,—,—
Blastoise,Bubble,Water,,20,100
Blastoise,Tackle,Normal,,35,95
Blastoise,Tail Whip,Normal,,—,100
Blastoise,Water Gun,Water,,40,100
Blastoise,Bite,Normal,,60,100
Blastoise,Withdraw,Water,,—,—
Blastoise,Skull Bash,Normal,,100,100
Blastoise,Hydro Pump,Water,,120,80
Blastoise,Surf,Water,,95,100
Blastoise,Strength,Normal,,80,100
Blastoise,Mega Punch,Normal,,80,85
Blastoise,Mega Kick,Normal,,120,75
Blastoise,Toxic,Poison,,—,85
Blastoise,Body Slam,Normal,,85,100
Blastoise,Take Down,Normal,,90,85
Blastoise,Double-Edge,Normal,,100,100
Blastoise,BubbleBeam,Water,,65,100
Blastoise,Ice Beam,Ice,,95,100
Blastoise,Blizzard,Ice,,120,90
Blastoise,Hyper Beam,Normal,,150,90
Blastoise,Submission,Fighting,,80,80
Blastoise,Counter,Fighting,,—,100
Blastoise,Seismic Toss,Fighting,,—,100
Blastoise,Rage,Normal,,20,100
Blastoise,Earthquake,Ground,,100,100
Blastoise,Fissure,Ground,,—,30
Blastoise,Dig,Ground,,100,100
Blastoise,Mimic,Normal,,—,100
Blastoise,Double Team,Normal,,—,—
Blastoise,Reflect,Psychic,,—,—
Blastoise,Bide,Normal,,—,—
Blastoise,Rest,Psychic,,—,—
Blastoise,Substitute,Normal,,—,—
Caterpie,String Shot,Bug,,—,95
Caterpie,Tackle,Normal,,35,95
Metapod,Harden,Normal,,—,—
Metapod,String Shot,Bug,,—,95
Metapod,Tackle,Normal,,35,95
Butterfree,Confusion,Psychic,,50,100
Butterfree,Poison Powder,Poison,,—,75
Butterfree,Stun Spore,Grass,,—,75
Butterfree,Sleep Powder,Grass,,—,75
Butterfree,Supersonic,Normal,,—,55
Butterfree,Whirlwind,Normal,,—,85
Butterfree,Psybeam,Psychic,,65,100
Butterfree,Harden,Normal,,—,—
Butterfree,String Shot,Bug,,—,95
Butterfree,Tackle,Normal,,35,95
Butterfree,Razor Wind,Normal,,80,75
Butterfree,Toxic,Poison,,—,85
Butterfree,Take Down,Normal,,90,85
Butterfree,Double-Edge,Normal,,100,100
Butterfree,Hyper Beam,Normal,,150,90
Butterfree,Rage,Normal,,20,100
Butterfree,Mega Drain,Grass,,40,100
Butterfree,Solar Beam,Grass,,120,100
Butterfree,Psychic,Psychic,,90,100
Butterfree,Teleport,Psychic,,—,—
Butterfree,Mimic,Normal,,—,100
Butterfree,Double Team,Normal,,—,—
Butterfree,Reflect,Psychic,,—,—
Butterfree,Bide,Normal,,—,—
Butterfree,Swift,Normal,,60,
Butterfree,Rest,Psychic,,—,—
Butterfree,Psywave,Psychic,,—,80
Butterfree,Substitute,Normal,,—,—
Butterfree,Gust,Normal,,40,100
Butterfree,Flash,Normal,,—,70
Weedle,Poison Sting,Poison,,15,100
Weedle,String Shot,Bug,,—,95
Kakuna,Harden,Normal,,—,—
Kakuna,Poison Sting,Poison,,15,100
Kakuna,String Shot,Bug,,—,95
Beedrill,Harden,Normal,,—,—
Beedrill,Poison Sting,Poison,,15,100
Beedrill,String Shot,Bug,,—,95
Beedrill,Fury Attack,Normal,,15,85
Beedrill,Focus Energy,Normal,,—,—
Beedrill,Twineedle,Bug,,25,100
Beedrill,Rage,Normal,,20,100
Beedrill,Pin Missile,Bug,,14,85
Beedrill,Agility,Psychic,,—,—
Beedrill,Cut,Normal,,50,95
Beedrill,Swords Dance,Normal,,—,—
Beedrill,Toxic,Poison,,—,85
Beedrill,Take Down,Normal,,90,85
Beedrill,Double-Edge,Normal,,100,100
Beedrill,Hyper Beam,Normal,,150,90
Beedrill,Mega Drain,Grass,,40,100
Beedrill,Mimic,Normal,,—,100
Beedrill,Double Team,Normal,,—,—
Beedrill,Reflect,Psychic,,—,—
Beedrill,Bide,Normal,,—,—
Beedrill,Swift,Normal,,60,
Beedrill,Skull Bash,Normal,,100,100
Beedrill,Rest,Psychic,,—,—
Beedrill,Substitute,Normal,,—,—
Pidgey,Gust,Normal,,40,100
Pidgey,Sand-Attack,Normal,,—,100
Pidgey,Quick Attack,Normal,,40,100
Pidgey,Whirlwind,Normal,,—,85
Pidgey,Wing Attack,Flying,,35,100
Pidgey,Agility,Psychic,,—,—
Pidgey,Mirror Move,Flying,,—,—
Pidgey,Fly,Flying,,70,95
Pidgey,Razor Wind,Normal,,80,75
Pidgey,Toxic,Poison,,—,85
Pidgey,Take Down,Normal,,90,85
Pidgey,Double-Edge,Normal,,100,100
Pidgey,Rage,Normal,,20,100
Pidgey,Mimic,Normal,,—,100
Pidgey,Double Team,Normal,,—,—
Pidgey,Reflect,Psychic,,—,—
Pidgey,Bide,Normal,,—,—
Pidgey,Swift,Normal,,60,
Pidgey,Sky Attack,Flying,,140,90
Pidgey,Rest,Psychic,,—,—
Pidgey,Substitute,Normal,,—,—
Pidgeotto,Gust,Normal,,40,100
Pidgeotto,Sand-Attack,Normal,,—,100
Pidgeotto,Quick Attack,Normal,,40,100
Pidgeotto,Whirlwind,Normal,,—,85
Pidgeotto,Wing Attack,Flying,,35,100
Pidgeotto,Agility,Psychic,,—,—
Pidgeotto,Mirror Move,Flying,,—,—
Pidgeotto,Fly,Flying,,70,95
Pidgeotto,Razor Wind,Normal,,80,75
Pidgeotto,Toxic,Poison,,—,85
Pidgeotto,Take Down,Normal,,90,85
Pidgeotto,Double-Edge,Normal,,100,100
Pidgeotto,Rage,Normal,,20,100
Pidgeotto,Mimic,Normal,,—,100
Pidgeotto,Double Team,Normal,,—,—
Pidgeotto,Reflect,Psychic,,—,—
Pidgeotto,Bide,Normal,,—,—
Pidgeotto,Swift,Normal,,60,
Pidgeotto,Sky Attack,Flying,,140,90
Pidgeotto,Rest,Psychic,,—,—
Pidgeotto,Substitute,Normal,,—,—
Pidgeot,Gust,Normal,,40,100
Pidgeot,Quick Attack,Normal,,40,100
Pidgeot,Sand-Attack,Normal,,—,100
Pidgeot,Whirlwind,Normal,,—,85
Pidgeot,Wing Attack,Flying,,35,100
Pidgeot,Agility,Psychic,,—,—
Pidgeot,Mirror Move,Flying,,—,—
Pidgeot,Fly,Flying,,70,95
Pidgeot,Razor Wind,Normal,,80,75
Pidgeot,Toxic,Poison,,—,85
Pidgeot,Take Down,Normal,,90,85
Pidgeot,Double-Edge,Normal,,100,100
Pidgeot,Hyper Beam,Normal,,150,90
Pidgeot,Rage,Normal,,20,100
Pidgeot,Mimic,Normal,,—,100
Pidgeot,Double Team,Normal,,—,—
Pidgeot,Reflect,Psychic,,—,—
Pidgeot,Bide,Normal,,—,—
Pidgeot,Swift,Normal,,60,
Pidgeot,Sky Attack,Flying,,140,90
Pidgeot,Rest,Psychic,,—,—
Pidgeot,Substitute,Normal,,—,—
Rattata,Tackle,Normal,,35,95
Rattata,Tail Whip,Normal,,—,100
Rattata,Quick Attack,Normal,,40,100
Rattata,Hyper Fang,Normal,,80,90
Rattata,Focus Energy,Normal,,—,—
Rattata,Super Fang,Normal,,—,90
Rattata,Toxic,Poison,,—,85
Rattata,Body Slam,Normal,,85,100
Rattata,Take Down,Normal,,90,85
Rattata,Double-Edge,Normal,,100,100
Rattata,BubbleBeam,Water,,65,100
Rattata,Water Gun,Water,,40,100
Rattata,Blizzard,Ice,,120,90
Rattata,Rage,Normal,,20,100
Rattata,Thunderbolt,Electric,,95,100
Rattata,Thunder,Electric,,120,70
Rattata,Dig,Ground,,100,100
Rattata,Mimic,Normal,,—,100
Rattata,Double Team,Normal,,—,—
Rattata,Bide,Normal,,—,—
Rattata,Swift,Normal,,60,
Rattata,Skull Bash,Normal,,100,100
Rattata,Rest,Psychic,,—,—
Rattata,Substitute,Normal,,—,—
Raticate,Quick Attack,Normal,,40,100
Raticate,Tackle,Normal,,35,95
Raticate,Tail Whip,Normal,,—,100
Raticate,Hyper Fang,Normal,,80,90
Raticate,Focus Energy,Normal,,—,—
Raticate,Super Fang,Normal,,—,90
Raticate,Toxic,Poison,,—,85
Raticate,Body Slam,Normal,,85,100
Raticate,Take Down,Normal,,90,85
Raticate,Double-Edge,Normal,,100,100
Raticate,BubbleBeam,Water,,65,100
Raticate,Water Gun,Water,,40,100
Raticate,Ice Beam,Ice,,95,100
Raticate,Blizzard,Ice,,120,90
Raticate,Hyper Beam,Normal,,150,90
Raticate,Rage,Normal,,20,100
Raticate,Thunderbolt,Electric,,95,100
Raticate,Thunder,Electric,,120,70
Raticate,Dig,Ground,,100,100
Raticate,Mimic,Normal,,—,100
Raticate,Double Team,Normal,,—,—
Raticate,Bide,Normal,,—,—
Raticate,Swift,Normal,,60,
Raticate,Skull Bash,Normal,,100,100
Raticate,Rest,Psychic,,—,—
Raticate,Substitute,Normal,,—,—
Spearow,Growl,Normal,,—,100
Spearow,Peck,Flying,,35,100
Spearow,Leer,Normal,,—,100
Spearow,Fury Attack,Normal,,15,85
Spearow,Mirror Move,Flying,,—,—
Spearow,Drill Peck,Flying,,80,100
Spearow,Agility,Psychic,,—,—
Spearow,Fly,Flying,,70,95
Spearow,Razor Wind,Normal,,80,75
Spearow,Whirlwind,Normal,,—,85
Spearow,Toxic,Poison,,—,85
Spearow,Take Down,Normal,,90,85
Spearow,Double-Edge,Normal,,100,100
Spearow,Rage,Normal,,20,100
Spearow,Mimic,Normal,,—,100
Spearow,Double Team,Normal,,—,—
Spearow,Bide,Normal,,—,—
Spearow,Swift,Normal,,60,
Spearow,Sky Attack,Flying,,140,90
Spearow,Rest,Psychic,,—,—
Spearow,Substitute,Normal,,—,—
Fearow,Growl,Normal,,—,100
Fearow,Leer,Normal,,—,100
Fearow,Peck,Flying,,35,100
Fearow,Fury Attack,Normal,,15,85
Fearow,Mirror Move,Flying,,—,—
Fearow,Drill Peck,Flying,,80,100
Fearow,Agility,Psychic,,—,—
Fearow,Fly,Flying,,70,95
Fearow,Razor Wind,Normal,,80,75
Fearow,Whirlwind,Normal,,—,85
Fearow,Toxic,Poison,,—,85
Fearow,Take Down,Normal,,90,85
Fearow,Double-Edge,Normal,,100,100
Fearow,Hyper Beam,Normal,,150,90
Fearow,Rage,Normal,,20,100
Fearow,Mimic,Normal,,—,100
Fearow,Double Team,Normal,,—,—
Fearow,Bide,Normal,,—,—
Fearow,Swift,Normal,,60,
Fearow,Sky Attack,Flying,,140,90
Fearow,Rest,Psychic,,—,—
Fearow,Substitute,Normal,,—,—
Ekans,Leer,Normal,,—,100
Ekans,Wrap,Normal,,15,85
Ekans,Poison Sting,Poison,,15,100
Ekans,Bite,Normal,,60,100
Ekans,Glare,Normal,,—,75
Ekans,Screech,Normal,,—,85
Ekans,Acid,Poison,,40,100
Ekans,Strength,Normal,,80,100
Ekans,Toxic,Poison,,—,85
Ekans,Body Slam,Normal,,85,100
Ekans,Take Down,Normal,,90,85
Ekans,Double-Edge,Normal,,100,100
Ekans,Rage,Normal,,20,100
Ekans,Mega Drain,Grass,,40,100
Ekans,Earthquake,Ground,,100,100
Ekans,Fissure,Ground,,—,30
Ekans,Dig,Ground,,100,100
Ekans,Mimic,Normal,,—,100
Ekans,Double Team,Normal,,—,—
Ekans,Bide,Normal,,—,—
Ekans,Skull Bash,Normal,,100,100
Ekans,Rest,Psychic,,—,—
Ekans,Rock Slide,Rock,,75,90
Ekans,Substitute,Normal,,—,—
Arbok,Leer,Normal,,—,100
Arbok,Poison Sting,Poison,,15,100
Arbok,Wrap,Normal,,15,85
Arbok,Bite,Normal,,60,100
Arbok,Glare,Normal,,—,75
Arbok,Screech,Normal,,—,85
Arbok,Acid,Poison,,40,100
Arbok,Strength,Normal,,80,100
Arbok,Toxic,Poison,,—,85
Arbok,Body Slam,Normal,,85,100
Arbok,Take Down,Normal,,90,85
Arbok,Double-Edge,Normal,,100,100
Arbok,Hyper Beam,Normal,,150,90
Arbok,Rage,Normal,,20,100
Arbok,Mega Drain,Grass,,40,100
Arbok,Earthquake,Ground,,100,100
Arbok,Fissure,Ground,,—,30
Arbok,Dig,Ground,,100,100
Arbok,Mimic,Normal,,—,100
Arbok,Double Team,Normal,,—,—
Arbok,Bide,Normal,,—,—
Arbok,Skull Bash,Normal,,100,100
Arbok,Rest,Psychic,,—,—
Arbok,Rock Slide,Rock,,75,90
Arbok,Substitute,Normal,,—,—
Pikachu,Growl,Normal,,—,100
Pikachu,ThunderShock,Electric,,40,100
Pikachu,Thunder Wave,Electric,,—,100
Pikachu,Quick Attack,Normal,,40,100
Pikachu,Swift,Normal,,60,
Pikachu,Agility,Psychic,,—,—
Pikachu,Thunder,Electric,,120,70
Pikachu,Flash,Normal,,—,70
Pikachu,Mega Punch,Normal,,80,85
Pikachu,Mega Kick,Normal,,120,75
Pikachu,Toxic,Poison,,—,85
Pikachu,Body Slam,Normal,,85,100
Pikachu,Take Down,Normal,,90,85
Pikachu,Double-Edge,Normal,,100,100
Pikachu,Pay Day,Normal,,40,100
Pikachu,Submission,Fighting,,80,80
Pikachu,Seismic Toss,Fighting,,—,100
Pikachu,Rage,Normal,,20,100
Pikachu,Thunderbolt,Electric,,95,100
Pikachu,Mimic,Normal,,—,100
Pikachu,Double Team,Normal,,—,—
Pikachu,Reflect,Psychic,,—,—
Pikachu,Bide,Normal,,—,—
Pikachu,Skull Bash,Normal,,100,100
Pikachu,Rest,Psychic,,—,—
Pikachu,Substitute,Normal,,—,—
Pikachu,Tail Whip,Normal,,—,100
Pikachu,Slam,Normal,,80,75
Pikachu,Light Screen,Psychic,,—,—
Raichu,Growl,Normal,,—,100
Raichu,ThunderShock,Electric,,40,100
Raichu,Thunder Wave,Electric,,—,100
Raichu,Agility,Psychic,,—,—
Raichu,Quick Attack,Normal,,40,100
Raichu,Flash,Normal,,—,70
Raichu,Mega Punch,Normal,,80,85
Raichu,Mega Kick,Normal,,120,75
Raichu,Toxic,Poison,,—,85
Raichu,Body Slam,Normal,,85,100
Raichu,Take Down,Normal,,90,85
Raichu,Double-Edge,Normal,,100,100
Raichu,Hyper Beam,Normal,,150,90
Raichu,Pay Day,Normal,,40,100
Raichu,Submission,Fighting,,80,80
Raichu,Seismic Toss,Fighting,,—,100
Raichu,Rage,Normal,,20,100
Raichu,Thunderbolt,Electric,,95,100
Raichu,Thunder,Electric,,120,70
Raichu,Mimic,Normal,,—,100
Raichu,Double Team,Normal,,—,—
Raichu,Reflect,Psychic,,—,—
Raichu,Bide,Normal,,—,—
Raichu,Swift,Normal,,60
Raichu,Skull Bash,Normal,,100,100
Raichu,Rest,Psychic,,—,—
Raichu,Substitute,Normal,,—,—
Sandshrew,Scratch,Normal,,40,100
Sandshrew,Sand-Attack,Normal,,—,100
Sandshrew,Slash,Normal,,70,100
Sandshrew,Poison Sting,Poison,,15,100
Sandshrew,Swift,Normal,,60
Sandshrew,Fury Swipes,Normal,,18,80
Sandshrew,Cut,Normal,,50,95
Sandshrew,Strength,Normal,,80,100
Sandshrew,Swords Dance,Normal,,—,—
Sandshrew,Toxic,Poison,,—,85
Sandshrew,Body Slam,Normal,,85,100
Sandshrew,Take Down,Normal,,90,85
Sandshrew,Double-Edge,Normal,,100,100
Sandshrew,Submission,Fighting,,80,80
Sandshrew,Seismic Toss,Fighting,,—,100
Sandshrew,Rage,Normal,,20,100
Sandshrew,Earthquake,Ground,,100,100
Sandshrew,Fissure,Ground,,—,30
Sandshrew,Dig,Ground,,100,100
Sandshrew,Mimic,Normal,,—,100
Sandshrew,Double Team,Normal,,—,—
Sandshrew,Bide,Normal,,—,—
Sandshrew,Skull Bash,Normal,,100,100
Sandshrew,Rest,Psychic,,—,—
Sandshrew,Rock Slide,Rock,,75,90
Sandshrew,Substitute,Normal,,—,—
Sandslash,Sand-Attack,Normal,,—,100
Sandslash,Scratch,Normal,,40,100
Sandslash,Slash,Normal,,70,100
Sandslash,Poison Sting,Poison,,15,100
Sandslash,Swift,Normal,,60,
Sandslash,Fury Swipes,Normal,,18,80
Sandslash,Cut,Normal,,50,95
Sandslash,Strength,Normal,,80,100
Sandslash,Swords Dance,Normal,,—,—
Sandslash,Toxic,Poison,,—,85
Sandslash,Body Slam,Normal,,85,100
Sandslash,Take Down,Normal,,90,85
Sandslash,Double-Edge,Normal,,100,100
Sandslash,Hyper Beam,Normal,,150,90
Sandslash,Submission,Fighting,,80,80
Sandslash,Seismic Toss,Fighting,,—,100
Sandslash,Rage,Normal,,20,100
Sandslash,Earthquake,Ground,,100,100
Sandslash,Fissure,Ground,,—,30
Sandslash,Dig,Ground,,100,100
Sandslash,Mimic,Normal,,—,100
Sandslash,Double Team,Normal,,—,—
Sandslash,Bide,Normal,,—,—
Sandslash,Skull Bash,Normal,,100,100
Sandslash,Rest,Psychic,,—,—
Sandslash,Rock Slide,Rock,,75,90
Sandslash,Substitute,Normal,,—,—
Nidoran F,Growl,Normal,,—,100
Nidoran F,Tackle,Normal,,35,95
Nidoran F,Scratch,Normal,,40,100
Nidoran F,Poison Sting,Poison,,15,100
Nidoran F,Tail Whip,Normal,,—,100
Nidoran F,Bite,Normal,,60,100
Nidoran F,Fury Swipes,Normal,,18,80
Nidoran F,Double Kick,Fighting,,30,100
Nidoran F,Toxic,Poison,,—,85
Nidoran F,Body Slam,Normal,,85,100
Nidoran F,Take Down,Normal,,90,85
Nidoran F,Double-Edge,Normal,,100,100
Nidoran F,Blizzard,Ice,,120,90
Nidoran F,Rage,Normal,,20,100
Nidoran F,Thunderbolt,Electric,,95,100
Nidoran F,Thunder,Electric,,120,70
Nidoran F,Mimic,Normal,,—,100
Nidoran F,Double Team,Normal,,—,—
Nidoran F,Reflect,Psychic,,—,—
Nidoran F,Bide,Normal,,—,—
Nidoran F,Skull Bash,Normal,,100,100
Nidoran F,Rest,Psychic,,—,—
Nidoran F,Substitute,Normal,,—,—
Nidorina,Growl,Normal,,—,100
Nidorina,Scratch,Normal,,40,100
Nidorina,Tackle,Normal,,35,95
Nidorina,Poison Sting,Poison,,15,100
Nidorina,Tail Whip,Normal,,—,100
Nidorina,Bite,Normal,,60,100
Nidorina,Fury Swipes,Normal,,18,80
Nidorina,Double Kick,Fighting,,30,100
Nidorina,Toxic,Poison,,—,85
Nidorina,Horn Drill,Normal,,—,30
Nidorina,Body Slam,Normal,,85,100
Nidorina,Take Down,Normal,,90,85
Nidorina,Double-Edge,Normal,,100,100
Nidorina,BubbleBeam,Water,,65,100
Nidorina,Water Gun,Water,,40,100
Nidorina,Ice Beam,Ice,,95,100
Nidorina,Blizzard,Ice,,120,90
